album_name,valence
A Matter of Life and Death,0.29045
Brave New World,0.36869999999999997
Dance of Death,0.33090909090909093
Fear of the Dark,0.48125
Iron Maiden,0.376
Killers,0.5133
No Prayer for the Dying,0.48440000000000005
Piece of Mind,0.45355555555555555
Powerslave,0.530125
Senjutsu,0.31917999999999996
Seventh Son of a Seventh Son,0.36135
Somewhere in Time,0.424875
The Book of Souls,0.2969272727272727
The Final Frontier,0.32939
The Number of the Beast,0.46025
The X Factor,0.24911818181818182
Virtual XI,0.356875
